code,name,definition,version,active,sortorder,defaulttier,defaulthandler
Reporting,Reporting,"Fund and investment reports, quarterly reports, financial statements, audit-support requests.",v3,true,10,T2,
Distribution,Distribution / Share Delivery,"Firm-initiated payouts: in-kind (SpaceX) and cash distributions, DTC/brokerage delivery details, eligibility questions.",v3,true,20,T3,
CapitalCall,Capital Call,"Capital-call notices, wire/payment confirmations, receipt queries, management fees.",v3,true,30,T3,
SubscriptionDocs,Subscription Docs,"Subscription/onboarding paperwork, capital commitments, signature support, custody feedback.",v3,true,40,T3,
TaxDocs,Tax Docs,"K-1s, tax information requests, W-8/W-9, tax-document delivery timelines.",v3,true,50,T4,
AccountAdmin,Account Admin,"Portal access, address/email/contact changes, distribution-list edits, ownership transfers between an investor's own entities.",v3,true,60,T3,
CartaOnboarding,Carta Onboarding,"Getting onto or through Carta: activation, portal access, e-signature problems.",v3,true,70,T3,
Meeting,Meeting,"Scheduling calls, intros, business-update invitations, networking.",v3,true,80,T2,
CapitalAccount,Capital Account,"Per-investor capital-account statements: requests, resends, discrepancies.",v3,true,90,T2,
Valuation,Valuation,"Current valuation, NAV, price-per-share, carry estimates, portfolio-value questions.",v3,true,100,T3,
CoInvestment,Co-Investment,"Co-invest and follow-on opportunity notices and investor elections.",v3,true,110,T2,
KYC-AML,KYC / AML,"Identity documents, outstanding KYC, FATCA/CRS, compliance verification.",v3,true,120,T3,
LiquidityTransfer,Liquidity / Transfer,"Investor-initiated secondary transfers or redemptions of an existing interest.",v3,true,130,T3,
Legal,Legal,"Side letters, consents, NDAs, and other legal terms.",v3,true,140,T2,
Other,Other,"Genuinely uncategorised investor mail. Noise (auto-replies, undeliverables) is dropped by the noise gate, not filed here.",v3,true,999,T1,
NDA,NDA,"Retired in v3 - merged into Legal. Kept inactive for historical lineage.",v3,false,,,
Legal-SideLetter,Legal Side Letter,"Retired in v3 - merged into Legal. Kept inactive for historical lineage.",v3,false,,,
BrokerageDetails,Brokerage Details,"Retired in v3 - merged into Distribution. Kept inactive for historical lineage.",v3,false,,,
DataRoom,Data Room,"Retired in v3 - kept inactive for historical lineage.",v3,false,,,
